co_oferta,curso,universidade,cidade,uf,nota_20_01,nota_21_01
346397,CIÊNCIA DA COMPUTAÇÃO,CEFET/RJ,Rio de Janeiro,RJ,742.14,751.58
345799,CIÊNCIA DA COMPUTAÇÃO,IF CATARINENSE,Concórdia,SC,618.68,651.04
345784,CIÊNCIA DA COMPUTAÇÃO,IF CATARINENSE,Rio do Sul,SC,638.28,644.46
345789,CIÊNCIA DA COMPUTAÇÃO,IF CATARINENSE,Videira,SC,658.96,658.96
345782,CIÊNCIA DA COMPUTAÇÃO,IF CATARINENSE,Blumenau,SC,679.14,693.86
366059,CIÊNCIA DA COMPUTAÇÃO,IF GOIANO,Iporá,GO,604.04,657.0
366043,CIÊNCIA DA COMPUTAÇÃO,IF GOIANO,Morrinhos,GO,729.28,725.06
349997,CIÊNCIA DA COMPUTAÇÃO,IF SUL DE MINAS,Muzambinho,MG,674.44,702.96
346910,CIÊNCIA DA COMPUTAÇÃO,IF SUL DE MINAS,Passos,MG,725.88,725.88
355411,CIÊNCIA DA COMPUTAÇÃO,IFAM,Manaus,AM,722.78,732.74
348482,CIÊNCIA DA COMPUTAÇÃO,IFB,Brasília,DF,764.11,765.72
367423,CIÊNCIA DA COMPUTAÇÃO,IFCE,Aracati,CE,667.25,671.59
367422,CIÊNCIA DA COMPUTAÇÃO,IFCE,Aracati,CE,672.65,683.88
367446,CIÊNCIA DA COMPUTAÇÃO,IFCE,Tianguá,CE,684.89,711.76
367494,CIÊNCIA DA COMPUTAÇÃO,IFCE,Iguatu,CE,719.79,723.36
367534,CIÊNCIA DA COMPUTAÇÃO,IFCE,Maracanaú,CE,732.42,738.28
357217,CIÊNCIA DA COMPUTAÇÃO,IFG,Anápolis,GO,697.16,713.66
368729,CIÊNCIA DA COMPUTAÇÃO,IFMA,Caxias,MA,677.28,681.26
368713,CIÊNCIA DA COMPUTAÇÃO,IFMA,Imperatriz,MA,691.54,694.1
346657,CIÊNCIA DA COMPUTAÇÃO,IFMG,Formiga,MG,709.62,716.96
346474,CIÊNCIA DA COMPUTAÇÃO,IFMG,Ibirité,MG,709.76,724.46
369180,CIÊNCIA DA COMPUTAÇÃO,IFNMG,Montes Claros,MG,708.64,718.8
344442,CIÊNCIA DA COMPUTAÇÃO,IFS,Itabaiana,SE,767.46,767.46
352859,CIÊNCIA DA COMPUTAÇÃO,IFSC,Lages,SC,664.71,674.89
362794,CIÊNCIA DA COMPUTAÇÃO,IFSEMG,Rio Pomba,MG,648.36,677.84
369052,CIÊNCIA DA COMPUTAÇÃO,IFSP,Presidente Epitácio,SP,661.26,675.16
369063,CIÊNCIA DA COMPUTAÇÃO,IFSP,São João da Boa Vista,SP,685.98,701.74
369102,CIÊNCIA DA COMPUTAÇÃO,IFSP,Jacareí,SP,697.18,702.82
369065,CIÊNCIA DA COMPUTAÇÃO,IFSP,Salto,SP,702.38,715.36
343360,CIÊNCIA DA COMPUTAÇÃO,IFTM,Ituiutaba,MG,758.77,713.03
349983,CIÊNCIA DA COMPUTAÇÃO,UDESC,Joinville,SC,708.74,721.42
344777,CIÊNCIA DA COMPUTAÇÃO,UEL,Londrina,PR,752.84,753.7
349531,CIÊNCIA DA COMPUTAÇÃO,UEM,Maringá,PR,756.08,756.08
357065,CIÊNCIA DA COMPUTAÇÃO,UEMS,Dourados,MS,671.02,709.58
357848,CIÊNCIA DA COMPUTAÇÃO,UENF,Campos dos Goytacazes,RJ,719.49,717.48
351592,CIÊNCIA DA COMPUTAÇÃO,UENP,Bandeirantes,PR,639.18,675.06
349909,CIÊNCIA DA COMPUTAÇÃO,UEPB,Patos,PB,668.44,678.22
355560,CIÊNCIA DA COMPUTAÇÃO,UEPB,Patos,PB,,675.77
346446,CIÊNCIA DA COMPUTAÇÃO,UERN,Natal,RN,672.44,699.75
346427,CIÊNCIA DA COMPUTAÇÃO,UERN,Mossoró,RN,697.97,704.77
357518,CIÊNCIA DA COMPUTAÇÃO,UESB,Vitória da Conquista,BA,758.73,762.34
348935,CIÊNCIA DA COMPUTAÇÃO,UESC,Ilhéus,BA,734.74,736.76
363176,CIÊNCIA DA COMPUTAÇÃO,UESPI,Floriano,PI,675.97,677.62
363103,CIÊNCIA DA COMPUTAÇÃO,UESPI,Teresina,PI,722.0,727.19
362590,CIÊNCIA DA COMPUTAÇÃO,UFAL,Arapiraca,AL,692.42,698.62
362563,CIÊNCIA DA COMPUTAÇÃO,UFAL,Maceió,AL,718.86,728.64
362562,CIÊNCIA DA COMPUTAÇÃO,UFAL,Maceió,AL,740.0,742.66
347440,CIÊNCIA DA COMPUTAÇÃO,UFAPE,Garanhuns,PE,698.21,705.03
361430,CIÊNCIA DA COMPUTAÇÃO,UFBA,Salvador,BA,766.53,766.96
365649,CIÊNCIA DA COMPUTAÇÃO,UFC,Russas,CE,664.5,678.52
365646,CIÊNCIA DA COMPUTAÇÃO,UFC,Quixadá,CE,688.64,704.94
365647,CIÊNCIA DA COMPUTAÇÃO,UFC,Crateús,CE,693.92,702.42
365565,CIÊNCIA DA COMPUTAÇÃO,UFC,Fortaleza,CE,773.2,774.36
352746,CIÊNCIA DA COMPUTAÇÃO,UFCA,Juazeiro do Norte,CE,755.69,759.47
363028,CIÊNCIA DA COMPUTAÇÃO,UFCAT,Catalão,GO,719.75,733.62
351744,CIÊNCIA DA COMPUTAÇÃO,UFCG,Campina Grande,PB,737.8,743.44
346958,CIÊNCIA DA COMPUTAÇÃO,UFERSA,Mossoró,RN,723.39,714.48
366223,CIÊNCIA DA COMPUTAÇÃO,UFES,Alegre,ES,719.87,724.17
366245,CIÊNCIA DA COMPUTAÇÃO,UFES,São Mateus,ES,721.75,730.72
366177,CIÊNCIA DA COMPUTAÇÃO,UFES,Vitória,ES,771.87,770.68
354915,CIÊNCIA DA COMPUTAÇÃO,UFF,Rio das Ostras,RJ,711.22,722.8
354886,CIÊNCIA DA COMPUTAÇÃO,UFF,Niterói,RJ,755.45,755.59
365950,CIÊNCIA DA COMPUTAÇÃO,UFFS,Chapecó,SC,686.12,719.6
365949,CIÊNCIA DA COMPUTAÇÃO,UFFS,Chapecó,SC,711.7,705.6
367669,CIÊNCIA DA COMPUTAÇÃO,UFG,Goiânia,GO,798.15,806.68
355400,CIÊNCIA DA COMPUTAÇÃO,UFJ,Jataí,GO,680.03,716.75
356141,CIÊNCIA DA COMPUTAÇÃO,UFJF,Juiz de Fora,MG,761.02,761.06
356272,CIÊNCIA DA COMPUTAÇÃO,UFJF,Juiz de Fora,MG,803.76,803.76
369165,CIÊNCIA DA COMPUTAÇÃO,UFLA,Lavras,MG,741.88,749.49
366508,CIÊNCIA DA COMPUTAÇÃO,UFMS,Campo Grande,MS,816.08,816.08
365225,CIÊNCIA DA COMPUTAÇÃO,UFMT,Barra do Garças,MT,623.2,659.12
365197,CIÊNCIA DA COMPUTAÇÃO,UFMT,Cuiabá,MT,706.64,710.68
365471,CIÊNCIA DA COMPUTAÇÃO,UFOP,Ouro Preto,MG,739.77,758.78
354425,CIÊNCIA DA COMPUTAÇÃO,UFPB,Rio Tinto,PB,610.94,624.54
354525,CIÊNCIA DA COMPUTAÇÃO,UFPB,João Pessoa,PB,758.78,761.12
364102,CIÊNCIA DA COMPUTAÇÃO,UFPE,Recife,PE,818.18,818.14
360943,CIÊNCIA DA COMPUTAÇÃO,UFPEL,Pelotas,RS,709.32,716.38
368102,CIÊNCIA DA COMPUTAÇÃO,UFPI,Teresina,PI,754.85,762.85
367048,CIÊNCIA DA COMPUTAÇÃO,UFPR,Curitiba,PR,808.84,802.44
350086,CIÊNCIA DA COMPUTAÇÃO,UFRGS,Porto Alegre,RS,764.11,770.86
359019,CIÊNCIA DA COMPUTAÇÃO,UFRJ,Rio de Janeiro,RJ,754.43,758.84
367652,CIÊNCIA DA COMPUTAÇÃO,UFRN,Natal,RN,781.06,783.4
356386,CIÊNCIA DA COMPUTAÇÃO,UFRPE,Recife,PE,737.35,746.02
346028,CIÊNCIA DA COMPUTAÇÃO,UFRR,Boa Vista,RR,661.02,685.5
369262,CIÊNCIA DA COMPUTAÇÃO,UFRRJ,Nova Iguaçu,RJ,736.98,745.89
365340,CIÊNCIA DA COMPUTAÇÃO,UFS,São Cristóvão,SE,778.75,789.49
344175,CIÊNCIA DA COMPUTAÇÃO,UFSC,Florianópolis,SC,805.43,807.96
366107,CIÊNCIA DA COMPUTAÇÃO,UFSCAR,Sorocaba,SP,777.34,781.34
365675,CIÊNCIA DA COMPUTAÇÃO,UFSCAR,São Carlos,SP,798.59,801.94
363610,CIÊNCIA DA COMPUTAÇÃO,UFSJ,São João del Rei,MG,679.71,683.76
361837,CIÊNCIA DA COMPUTAÇÃO,UFSM,Santa Maria,RS,798.82,811.52
367298,CIÊNCIA DA COMPUTAÇÃO,UFT,Palmas,TO,706.72,711.58
362190,CIÊNCIA DA COMPUTAÇÃO,UFU,Uberlândia,MG,792.88,796.92
368656,CIÊNCIA DA COMPUTAÇÃO,UFV,Florestal,MG,704.64,715.8
368617,CIÊNCIA DA COMPUTAÇÃO,UFV,Viçosa,MG,753.88,753.18
368436,CIÊNCIA DA COMPUTAÇÃO,UFVJM,Teófilo Otoni,MG,677.34,686.82
356478,CIÊNCIA DA COMPUTAÇÃO,UNEMAT,Cáceres,MT,590.51,626.86
356520,CIÊNCIA DA COMPUTAÇÃO,UNEMAT,Rondonópolis,MT,639.41,644.21
356427,CIÊNCIA DA COMPUTAÇÃO,UNEMAT,Barra do Bugres,MT,,619.3
367633,CIÊNCIA DA COMPUTAÇÃO,UNESPAR,Apucarana,PR,625.96,686.62
345860,CIÊNCIA DA COMPUTAÇÃO,UNICENTRO,Guarapuava,PR,674.94,688.06
342907,CIÊNCIA DA COMPUTAÇÃO,UNIFAL-MG,Alfenas,MG,712.68,723.16
