co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01,nota_24_01,nota_25_01
357742,ADMINISTRAÇÃO,CEFET/MG,Belo Horizonte,MG,716.11,719.08,717.63,,
346393,ADMINISTRAÇÃO,CEFET/RJ,Valença,RJ,611.88,628.78,638.42,,
345941,ADMINISTRAÇÃO,CEFET/RJ,Rio de Janeiro,RJ,727.98,731.29,735.04,,
346005,ADMINISTRAÇÃO,FAMA,Clevelândia,PR,N/A,N/A,577.58,,
355489,ADMINISTRAÇÃO,FMP,Palhoça,SC,678.44,714.84,678.44,,
349751,ADMINISTRAÇÃO,FURG,Rio Grande,RS,645.26,651.26,657.79,,
349690,ADMINISTRAÇÃO,FURG,Santo Antônio da Patrulha,RS,660.6,663.96,665.02,,
344998,ADMINISTRAÇÃO,IF FLUMINENSE,Santo Antônio de Pádua,RJ,600.26,606.65,605.72,,
345009,ADMINISTRAÇÃO,IF FLUMINENSE,Itaperuna,RJ,629.89,629.89,627.45,,
366052,ADMINISTRAÇÃO,IF GOIANO,Campos Belos,GO,630.52,663.34,660.46,,
366053,ADMINISTRAÇÃO,IF GOIANO,Posse,GO,742.78,742.78,742.78,,
346912,ADMINISTRAÇÃO,IF SUL DE MINAS,Machado,MG,655.44,622.54,672.22,,
346872,ADMINISTRAÇÃO,IF SUL DE MINAS,Passos,MG,663.3,680.46,665.04,,
346895,ADMINISTRAÇÃO,IF SUL DE MINAS,Carmo de Minas,MG,664.66,719.08,719.08,,
346881,ADMINISTRAÇÃO,IF SUL DE MINAS,Poços de Caldas,MG,704.64,704.64,788.58,,
347125,ADMINISTRAÇÃO,IFAP,Laranjal do Jari,AP,597.33,611.33,614.27,,
366479,ADMINISTRAÇÃO,IFBA,Salvador,BA,669.76,674.21,676.0,,
357295,ADMINISTRAÇÃO,IFBAIANO,Alagoinhas,BA,643.5,643.66,645.64,,
357294,ADMINISTRAÇÃO,IFBAIANO,Senhor do Bonfim,BA,650.24,642.08,642.92,,
352940,ADMINISTRAÇÃO,IFES,Colatina,ES,618.92,624.62,624.62,,
352948,ADMINISTRAÇÃO,IFES,Venda Nova do Imigrante,ES,630.58,635.06,646.69,,
352963,ADMINISTRAÇÃO,IFES,Linhares,ES,636.92,648.54,662.3,,
352956,ADMINISTRAÇÃO,IFES,Santa Maria de Jetibá,ES,638.25,638.25,642.71,,
352932,ADMINISTRAÇÃO,IFES,Guarapari,ES,660.34,668.73,676.12,,
352955,ADMINISTRAÇÃO,IFES,Barra de São Francisco,ES,711.68,711.68,711.68,,
368739,ADMINISTRAÇÃO,IFMA,Buriticupu,MA,556.64,568.86,580.18,,
368723,ADMINISTRAÇÃO,IFMA,São João dos Patos,MA,561.52,564.82,580.74,,
368744,ADMINISTRAÇÃO,IFMA,Coelho Neto,MA,568.08,569.88,582.44,,
368735,ADMINISTRAÇÃO,IFMA,Barra do Corda,MA,582.52,587.6,594.58,,
368698,ADMINISTRAÇÃO,IFMA,Santa Inês,MA,623.8,629.46,633.86,,
368677,ADMINISTRAÇÃO,IFMA,Bacabal,MA,623.94,637.48,628.34,,
346666,ADMINISTRAÇÃO,IFMG,Bambuí,MG,637.56,654.94,646.92,,
346473,ADMINISTRAÇÃO,IFMG,Ribeirão das Neves,MG,639.82,652.74,645.48,,
346641,ADMINISTRAÇÃO,IFMG,Sabará,MG,651.6,655.32,655.62,,
346632,ADMINISTRAÇÃO,IFMG,São João Evangelista,MG,675.28,661.36,662.62,,
346483,ADMINISTRAÇÃO,IFMG,Ouro Branco,MG,688.26,672.16,688.26,,
346658,ADMINISTRAÇÃO,IFMG,Formiga,MG,696.46,696.46,696.46,,
369182,ADMINISTRAÇÃO,IFNMG,Arinos,MG,612.08,613.02,657.78,,
368917,ADMINISTRAÇÃO,IFNMG,Januária,MG,617.74,622.46,644.68,,
369181,ADMINISTRAÇÃO,IFNMG,Araçuaí,MG,628.82,658.94,658.94,,
369175,ADMINISTRAÇÃO,IFNMG,Pirapora,MG,643.6,661.8,672.14,,
361559,ADMINISTRAÇÃO,IFPB,João Pessoa,PB,619.94,626.98,629.33,,
361560,ADMINISTRAÇÃO,IFPB,João Pessoa,PB,628.17,632.11,635.23,,
362796,ADMINISTRAÇÃO,IFSEMG,Rio Pomba,MG,651.02,639.48,649.8,,
362828,ADMINISTRAÇÃO,IFSEMG,Barbacena,MG,659.64,643.26,659.3,,
362825,ADMINISTRAÇÃO,IFSEMG,Muriaé,MG,708.72,708.72,708.72,,
369005,ADMINISTRAÇÃO,IFSP,São Roque,SP,678.56,680.68,684.0,,
369011,ADMINISTRAÇÃO,IFSP,Jacareí,SP,682.52,682.52,682.88,,
369091,ADMINISTRAÇÃO,IFSP,Suzano,SP,686.5,690.0,688.5,,
369086,ADMINISTRAÇÃO,IFSP,São Carlos,SP,700.52,699.38,698.08,,
344377,ADMINISTRAÇÃO,IFTM,Patos de Minas,MG,634.11,645.46,646.4,,
344371,ADMINISTRAÇÃO,IFTM,Uberaba,MG,660.28,676.43,676.43,,
344347,ADMINISTRAÇÃO,IFTM,Paracatu,MG,670.07,670.07,682.46,,
356056,ADMINISTRAÇÃO,IFTO,Paraíso do Tocantins,TO,584.28,685.72,685.72,,
356086,ADMINISTRAÇÃO,IFTO,Porto Nacional,TO,604.24,645.76,645.76,,
349955,ADMINISTRAÇÃO,UDESC,Florianópolis,SC,710.46,716.56,723.64,,
349977,ADMINISTRAÇÃO,UDESC,Florianópolis,SC,713.64,713.92,713.64,,
