co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01,nota_24_01
344981,EDUCAÇÃO FÍSICA,IF FLUMINENSE,Campos dos Goytacazes,RJ,640.23,650.85,648.42,
346984,EDUCAÇÃO FÍSICA,IFAP,Macapá,AP,640.96,640.86,640.86,
348474,EDUCAÇÃO FÍSICA,IFB,Brasília,DF,673.64,673.64,679.63,
367527,EDUCAÇÃO FÍSICA,IFCE,Canindé,CE,602.62,616.14,621.28,
367541,EDUCAÇÃO FÍSICA,IFCE,Limoeiro do Norte,CE,606.67,611.08,614.36,
367526,EDUCAÇÃO FÍSICA,IFCE,Canindé,CE,631.42,632.34,633.5,
346642,EDUCAÇÃO FÍSICA,IFMG,Bambuí,MG,633.62,654.02,666.1,
352118,EDUCAÇÃO FÍSICA,IFRR,Boa Vista,RR,625.34,661.22,661.22,
352109,EDUCAÇÃO FÍSICA,IFRR,Boa Vista,RR,660.78,660.78,660.78,
362858,EDUCAÇÃO FÍSICA,IFSEMG,Barbacena,MG,651.24,680.9,680.9,
362829,EDUCAÇÃO FÍSICA,IFSEMG,Barbacena,MG,684.06,684.06,684.06,
356059,EDUCAÇÃO FÍSICA,IFTO,Palmas,TO,689.94,706.72,706.72,
349914,EDUCAÇÃO FÍSICA,UDESC,Florianópolis,SC,666.72,672.9,679.32,
349982,EDUCAÇÃO FÍSICA,UDESC,Florianópolis,SC,709.04,701.7,705.98,
359268,EDUCAÇÃO FÍSICA,UEFS,Feira de Santana,BA,622.59,622.92,626.59,
349846,EDUCAÇÃO FÍSICA,UEPB,Campina Grande,PB,630.88,635.47,639.76,
349835,EDUCAÇÃO FÍSICA,UEPB,Campina Grande,PB,652.06,653.88,657.55,
357510,EDUCAÇÃO FÍSICA,UESB,Jequié,BA,648.65,648.65,654.86,
348971,EDUCAÇÃO FÍSICA,UESC,Ilhéus,BA,654.66,654.66,655.08,
346705,EDUCAÇÃO FÍSICA,UFAC,Rio Branco,AC,606.06,612.79,618.98,
362540,EDUCAÇÃO FÍSICA,UFAL,Maceió,AL,631.4,637.82,639.34,
362589,EDUCAÇÃO FÍSICA,UFAL,Arapiraca,AL,632.14,635.2,639.66,
362603,EDUCAÇÃO FÍSICA,UFAL,Maceió,AL,644.72,648.36,644.22,
368854,EDUCAÇÃO FÍSICA,UFAM,Parintins,AM,639.24,628.58,624.24,
368796,EDUCAÇÃO FÍSICA,UFAM,Manaus,AM,685.4,690.63,693.85,
361451,EDUCAÇÃO FÍSICA,UFBA,Salvador,BA,665.45,663.39,668.61,
366168,EDUCAÇÃO FÍSICA,UFES,Vitória,ES,656.35,654.3,663.71,
366235,EDUCAÇÃO FÍSICA,UFES,Vitória,ES,674.97,682.51,686.71,
354948,EDUCAÇÃO FÍSICA,UFF,Niterói,RJ,701.83,705.55,706.85,
350305,EDUCAÇÃO FÍSICA,UFGD,Dourados,MS,614.9,620.78,641.32,
355386,EDUCAÇÃO FÍSICA,UFJ,Jataí,GO,559.97,581.92,598.87,
355407,EDUCAÇÃO FÍSICA,UFJ,Jataí,GO,633.85,648.35,646.55,
356315,EDUCAÇÃO FÍSICA,UFJF,Governador Valadares,MG,655.64,669.88,669.08,
369310,EDUCAÇÃO FÍSICA,UFLA,Lavras,MG,635.26,647.58,658.1,
369313,EDUCAÇÃO FÍSICA,UFLA,Lavras,MG,664.98,667.84,667.84,
347938,EDUCAÇÃO FÍSICA,UFMA,Pinheiro,MA,612.28,619.9,616.66,
347823,EDUCAÇÃO FÍSICA,UFMA,São Luís,MA,614.02,623.38,631.02,
347843,EDUCAÇÃO FÍSICA,UFMA,São Luís,MA,644.32,645.36,645.38,
361040,EDUCAÇÃO FÍSICA,UFMG,Belo Horizonte,MG,690.3,691.96,697.78,
361236,EDUCAÇÃO FÍSICA,UFMG,Belo Horizonte,MG,703.7,703.7,703.7,
361235,EDUCAÇÃO FÍSICA,UFMG,Belo Horizonte,MG,709.64,709.64,711.14,
366556,EDUCAÇÃO FÍSICA,UFMS,Corumbá,MS,662.65,662.65,661.69,
366590,EDUCAÇÃO FÍSICA,UFMS,Campo Grande,MS,733.54,733.54,735.68,
366485,EDUCAÇÃO FÍSICA,UFMS,Campo Grande,MS,748.69,748.69,748.69,
365223,EDUCAÇÃO FÍSICA,UFMT,Pontal do Araguaia,MT,562.0,574.48,575.82,
343375,EDUCAÇÃO FÍSICA,UFNT,Tocantinópolis,TO,628.68,628.68,628.68,
365513,EDUCAÇÃO FÍSICA,UFOP,Ouro Preto,MG,631.36,631.36,642.39,
365536,EDUCAÇÃO FÍSICA,UFOP,Ouro Preto,MG,654.5,661.46,661.5,
354477,EDUCAÇÃO FÍSICA,UFPB,João Pessoa,PB,645.8,649.92,651.22,
354422,EDUCAÇÃO FÍSICA,UFPB,João Pessoa,PB,657.56,660.02,659.56,
364180,EDUCAÇÃO FÍSICA,UFPE,Vitória de Santo Antão,PE,600.24,605.85,608.36,
364104,EDUCAÇÃO FÍSICA,UFPE,Recife,PE,621.5,626.13,629.79,
364210,EDUCAÇÃO FÍSICA,UFPE,Vitória de Santo Antão,PE,624.67,632.37,634.62,
364186,EDUCAÇÃO FÍSICA,UFPE,Recife,PE,656.66,659.1,661.64,
367123,EDUCAÇÃO FÍSICA,UFPR,Matinhos,PR,719.26,726.32,719.26,
347353,EDUCAÇÃO FÍSICA,UFRB,Amargosa,BA,592.28,595.18,602.04,
358990,EDUCAÇÃO FÍSICA,UFRJ,Rio de Janeiro,RJ,685.2,692.42,693.53,
358988,EDUCAÇÃO FÍSICA,UFRJ,Rio de Janeiro,RJ,704.32,711.23,715.39,
358989,EDUCAÇÃO FÍSICA,UFRJ,Rio de Janeiro,RJ,729.38,733.56,735.1,
368020,EDUCAÇÃO FÍSICA,UFRN,Natal,RN,652.4,661.11,659.22,
367946,EDUCAÇÃO FÍSICA,UFRN,Natal,RN,665.46,665.79,665.79,
356379,EDUCAÇÃO FÍSICA,UFRPE,Recife,PE,613.36,621.08,624.6,
