co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01,nota_24_01,nota_25_01
354179,FISIOTERAPIA,IFRJ,Rio de Janeiro,RJ,711.43,714.26,716.84,,
349967,FISIOTERAPIA,UDESC,Florianópolis,SC,735.94,742.7,745.32,,
344815,FISIOTERAPIA,UEL,Londrina,PR,735.62,733.02,735.62,,
355985,FISIOTERAPIA,UEMG,Divinópolis,MG,708.76,721.54,719.12,,
351441,FISIOTERAPIA,UENP,Jacarezinho,PR,716.24,718.22,714.54,,
349838,FISIOTERAPIA,UEPB,Campina Grande,PB,682.32,686.54,690.58,,
357525,FISIOTERAPIA,UESB,Jequié,BA,705.08,705.08,710.39,,
363114,FISIOTERAPIA,UESPI,Teresina,PI,689.89,689.06,689.89,,
368840,FISIOTERAPIA,UFAM,Coari,AM,693.5,702.63,696.99,,
368858,FISIOTERAPIA,UFAM,Manaus,AM,733.19,733.83,733.83,,
361490,FISIOTERAPIA,UFBA,Salvador,BA,698.09,703.08,706.64,,
365634,FISIOTERAPIA,UFC,Fortaleza,CE,737.28,742.64,737.28,,
360266,FISIOTERAPIA,UFCSPA,Porto Alegre,RS,732.1,736.16,736.18,,
347119,FISIOTERAPIA,UFDPAR,Parnaíba,PI,674.98,678.3,682.56,,
366209,FISIOTERAPIA,UFES,Vitória,ES,725.13,727.59,728.02,,
367761,FISIOTERAPIA,UFG,Goiânia,GO,722.15,729.0,726.6,,
355406,FISIOTERAPIA,UFJ,Jataí,GO,683.14,689.61,691.59,,
356310,FISIOTERAPIA,UFJF,Governador Valadares,MG,724.38,726.2,725.64,,
356140,FISIOTERAPIA,UFJF,Juiz de Fora,MG,725.16,733.06,734.5,,
361189,FISIOTERAPIA,UFMG,Belo Horizonte,MG,747.84,751.36,753.38,,
366549,FISIOTERAPIA,UFMS,Campo Grande,MS,771.05,771.05,771.05,,
354531,FISIOTERAPIA,UFPB,João Pessoa,PB,689.76,696.24,696.24,,
364116,FISIOTERAPIA,UFPE,Recife,PE,725.61,729.16,729.16,,
361014,FISIOTERAPIA,UFPEL,Pelotas,RS,702.02,702.82,704.46,,
367113,FISIOTERAPIA,UFPR,Curitiba,PR,772.5,772.5,772.5,,
350129,FISIOTERAPIA,UFRGS,Porto Alegre,RS,724.94,727.75,732.35,,
358969,FISIOTERAPIA,UFRJ,Rio de Janeiro,RJ,750.67,753.9,755.41,,
368006,FISIOTERAPIA,UFRN,Santa Cruz,RN,664.17,668.06,670.94,,
367951,FISIOTERAPIA,UFRN,Natal,RN,695.41,696.79,696.95,,
365419,FISIOTERAPIA,UFS,Lagarto,SE,694.41,694.68,703.37,,
365391,FISIOTERAPIA,UFS,Aracaju,SE,711.64,711.61,714.91,,
344299,FISIOTERAPIA,UFSC,Araranguá,SC,740.69,746.18,748.07,,
365683,FISIOTERAPIA,UFSCAR,São Carlos,SP,740.5,748.66,744.46,,
361827,FISIOTERAPIA,UFSM,Santa Maria,RS,737.92,738.26,740.28,,
355087,FISIOTERAPIA,UFTM,Uberaba,MG,717.71,720.65,725.89,,
362218,FISIOTERAPIA,UFU,Uberlândia,MG,754.88,757.26,759.15,,
367943,FISIOTERAPIA,UFVJM,Diamantina,MG,699.04,706.14,708.33,,
366808,FISIOTERAPIA,UNEB,Salvador,BA,700.37,704.68,702.74,,
342887,FISIOTERAPIA,UNIFAL-MG,Alfenas,MG,720.74,722.58,725.34,,
360685,FISIOTERAPIA,UNIFESP,Santos,SP,736.4,737.78,736.0,,
353518,FISIOTERAPIA,UNIOESTE,Cascavel,PR,736.58,732.6,737.25,,
346988,FISIOTERAPIA,UNIPAMPA,Uruguaiana,RS,677.44,689.68,694.62,,
353607,FISIOTERAPIA,UPE,Petrolina,PE,694.42,699.0,705.1,,
