co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01
357896,ARQUITETURA E URBANISMO,CEFET/MG,Timóteo,MG,699.88,701.83,708.36
344980,ARQUITETURA E URBANISMO,IF FLUMINENSE,Campos dos Goytacazes,RJ,741.92,744.77,744.77
355473,ARQUITETURA E URBANISMO,IF SERTÃO-PE,Santa Maria da Boa Vista,PE,665.79,687.17,682.36
367250,ARQUITETURA E URBANISMO,IFBA,Barreiras,BA,681.1,687.4,687.4
352929,ARQUITETURA E URBANISMO,IFES,Colatina,ES,735.92,736.24,748.89
346630,ARQUITETURA E URBANISMO,IFMG,Santa Luzia,MG,719.24,728.46,728.46
343336,ARQUITETURA E URBANISMO,IFMS,Jardim,MS,664.03,667.18,668.12
361801,ARQUITETURA E URBANISMO,IFPB,Catolé do Rocha,PB,661.42,670.82,673.34
344450,ARQUITETURA E URBANISMO,IFS,Lagarto,SE,664.77,664.54,668.08
369094,ARQUITETURA E URBANISMO,IFSP,Jacareí,SP,714.26,716.74,716.8
368996,ARQUITETURA E URBANISMO,IFSP,São Paulo,SP,736.34,735.6,736.34
349917,ARQUITETURA E URBANISMO,UDESC,Laguna,SC,709.72,712.34,712.84
349436,ARQUITETURA E URBANISMO,UEM,Umuarama,PR,718.56,718.56,718.56
349504,ARQUITETURA E URBANISMO,UEM,Maringá,PR,747.16,753.42,753.42
356015,ARQUITETURA E URBANISMO,UEMG,Passos,MG,712.86,712.86,716.4
362586,ARQUITETURA E URBANISMO,UFAL,Arapiraca,AL,684.28,688.66,693.22
362536,ARQUITETURA E URBANISMO,UFAL,Maceió,AL,691.48,693.52,694.18
362535,ARQUITETURA E URBANISMO,UFAL,Maceió,AL,703.28,700.12,703.28
368867,ARQUITETURA E URBANISMO,UFAM,Manaus,AM,721.9,725.51,725.51
361423,ARQUITETURA E URBANISMO,UFBA,Salvador,BA,707.36,712.15,714.19
361422,ARQUITETURA E URBANISMO,UFBA,Salvador,BA,725.59,725.59,722.89
361421,ARQUITETURA E URBANISMO,UFBA,Salvador,BA,736.88,739.71,740.93
365570,ARQUITETURA E URBANISMO,UFC,Fortaleza,CE,730.32,729.38,730.7
351760,ARQUITETURA E URBANISMO,UFCG,Campina Grande,PB,696.76,696.98,696.98
346969,ARQUITETURA E URBANISMO,UFERSA,Pau dos Ferros,RN,668.78,672.76,679.0
366171,ARQUITETURA E URBANISMO,UFES,Vitória,ES,736.33,744.74,744.29
365948,ARQUITETURA E URBANISMO,UFFS,Erechim,RS,690.16,698.08,705.82
367758,ARQUITETURA E URBANISMO,UFG,Goiás,GO,733.96,729.62,733.96
367713,ARQUITETURA E URBANISMO,UFG,Goiânia,GO,764.47,761.27,764.47
356139,ARQUITETURA E URBANISMO,UFJF,Juiz de Fora,MG,721.7,723.6,723.6
361033,ARQUITETURA E URBANISMO,UFMG,Belo Horizonte,MG,744.22,748.56,752.12
361032,ARQUITETURA E URBANISMO,UFMG,Belo Horizonte,MG,766.14,767.28,768.14
366581,ARQUITETURA E URBANISMO,UFMS,Naviraí,MS,730.03,730.03,730.03
366521,ARQUITETURA E URBANISMO,UFMS,Campo Grande,MS,788.07,787.77,771.5
365199,ARQUITETURA E URBANISMO,UFMT,Cuiabá,MT,689.56,695.08,699.76
365510,ARQUITETURA E URBANISMO,UFOP,Ouro Preto,MG,703.9,706.77,709.76
365509,ARQUITETURA E URBANISMO,UFOP,Ouro Preto,MG,713.49,715.53,718.24
354434,ARQUITETURA E URBANISMO,UFPB,João Pessoa,PB,713.52,718.8,718.34
364113,ARQUITETURA E URBANISMO,UFPE,Recife,PE,712.46,717.25,718.89
360933,ARQUITETURA E URBANISMO,UFPEL,Pelotas,RS,706.92,707.54,708.6
368104,ARQUITETURA E URBANISMO,UFPI,Teresina,PI,734.74,738.78,736.39
367036,ARQUITETURA E URBANISMO,UFPR,Curitiba,PR,780.76,780.76,780.76
350156,ARQUITETURA E URBANISMO,UFRGS,Porto Alegre,RS,726.31,726.51,726.83
358935,ARQUITETURA E URBANISMO,UFRJ,Rio de Janeiro,RJ,749.89,752.11,751.21
367962,ARQUITETURA E URBANISMO,UFRN,Natal,RN,723.91,722.41,724.68
346041,ARQUITETURA E URBANISMO,UFRR,Boa Vista,RR,681.46,682.06,671.69
369224,ARQUITETURA E URBANISMO,UFRRJ,Seropédica,RJ,731.38,734.67,734.93
365399,ARQUITETURA E URBANISMO,UFS,Laranjeiras,SE,712.22,714.91,714.93
344284,ARQUITETURA E URBANISMO,UFSC,Florianópolis,SC,768.62,771.76,772.05
363608,ARQUITETURA E URBANISMO,UFSJ,São João del Rei,MG,681.01,684.69,686.79
361916,ARQUITETURA E URBANISMO,UFSM,Cachoeira do Sul,RS,708.02,708.78,708.78
361838,ARQUITETURA E URBANISMO,UFSM,Santa Maria,RS,783.32,790.84,790.84
367285,ARQUITETURA E URBANISMO,UFT,Palmas,TO,753.2,726.06,706.58
362192,ARQUITETURA E URBANISMO,UFU,Uberlândia,MG,767.54,763.92,768.69
368618,ARQUITETURA E URBANISMO,UFV,Viçosa,MG,724.42,721.26,725.26
356437,ARQUITETURA E URBANISMO,UNEMAT,Barra do Bugres,MT,673.09,679.9,688.63
360735,ARQUITETURA E URBANISMO,UNIFESP,São Paulo,SP,766.8,768.51,767.4
349768,ARQUITETURA E URBANISMO,UNIFESSPA,Santana do Araguaia,PA,678.85,684.29,685.94
343497,ARQUITETURA E URBANISMO,UNILA,Foz do Iguaçu,PR,702.54,707.14,709.1
364469,ARQUITETURA E URBANISMO,UTFPR,Guarapuava,PR,724.94,728.78,733.12
