co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01
357868,ENGENHARIA CIVIL,CEFET/MG,Araxá,MG,592.28,642.26
357888,ENGENHARIA CIVIL,CEFET/MG,Curvelo,MG,650.3,663.51
357891,ENGENHARIA CIVIL,CEFET/MG,Varginha,MG,675.91,684.13
357899,ENGENHARIA CIVIL,CEFET/MG,Belo Horizonte,MG,737.3,743.49
345931,ENGENHARIA CIVIL,CEFET/RJ,Rio de Janeiro,RJ,698.25,703.27
349331,ENGENHARIA CIVIL,FURG,Rio Grande,RS,631.3,638.97
355474,ENGENHARIA CIVIL,IF SERTÃO-PE,Ouricuri,PE,633.48,646.68
355475,ENGENHARIA CIVIL,IF SERTÃO-PE,Salgueiro,PE,641.39,649.91
355470,ENGENHARIA CIVIL,IF SERTÃO-PE,Serra Talhada,PE,655.73,662.88
355476,ENGENHARIA CIVIL,IF SERTÃO-PE,Petrolina,PE,681.08,678.34
346909,ENGENHARIA CIVIL,IF SUL DE MINAS,Pouso Alegre,MG,689.06,722.72
349109,ENGENHARIA CIVIL,IFAL,Maceió,AL,664.73,666.21
349094,ENGENHARIA CIVIL,IFAL,Palmeira dos Índios,AL,716.55,720.56
355412,ENGENHARIA CIVIL,IFAM,Manaus,AM,717.8,714.06
347136,ENGENHARIA CIVIL,IFAP,Macapá,AP,695.82,690.15
348476,ENGENHARIA CIVIL,IFB,Brasília,DF,720.28,723.28
367279,ENGENHARIA CIVIL,IFBA,Euclides da Cunha,BA,607.5,634.74
367246,ENGENHARIA CIVIL,IFBA,Eunápolis,BA,629.78,629.78
367245,ENGENHARIA CIVIL,IFBA,Vitória da Conquista,BA,708.41,712.33
367440,ENGENHARIA CIVIL,IFCE,Morada Nova,CE,629.43,652.78
367490,ENGENHARIA CIVIL,IFCE,Juazeiro do Norte,CE,650.55,661.75
367491,ENGENHARIA CIVIL,IFCE,Juazeiro do Norte,CE,672.0,673.78
367462,ENGENHARIA CIVIL,IFCE,Quixadá,CE,672.64,680.24
367421,ENGENHARIA CIVIL,IFCE,Fortaleza,CE,711.63,717.62
352954,ENGENHARIA CIVIL,IFES,Nova Venécia,ES,652.38,643.24
352959,ENGENHARIA CIVIL,IFES,Vitória,ES,727.59,734.98
357260,ENGENHARIA CIVIL,IFG,Uruaçu,GO,679.64,690.48
357249,ENGENHARIA CIVIL,IFG,Aparecida de Goiânia,GO,710.18,710.18
357263,ENGENHARIA CIVIL,IFG,Jataí,GO,715.88,715.88
357229,ENGENHARIA CIVIL,IFG,Goiânia,GO,738.94,772.46
357238,ENGENHARIA CIVIL,IFG,Formosa,GO,740.38,735.46
368756,ENGENHARIA CIVIL,IFMA,Santa Inês,MA,639.12,645.22
368736,ENGENHARIA CIVIL,IFMA,Imperatriz,MA,661.86,666.5
368693,ENGENHARIA CIVIL,IFMA,São Luís,MA,688.1,688.1
346655,ENGENHARIA CIVIL,IFMG,Piumhi,MG,595.96,613.44
346484,ENGENHARIA CIVIL,IFMG,Santa Luzia,MG,707.28,709.86
346648,ENGENHARIA CIVIL,IFMG,Governador Valadares,MG,733.14,733.14
343327,ENGENHARIA CIVIL,IFMS,Aquidauana,MS,589.49,603.82
369191,ENGENHARIA CIVIL,IFNMG,Januária,MG,620.3,627.6
369190,ENGENHARIA CIVIL,IFNMG,Pirapora,MG,665.84,665.84
361802,ENGENHARIA CIVIL,IFPB,Itaporanga,PB,541.09,572.11
361800,ENGENHARIA CIVIL,IFPB,Monteiro,PB,566.87,584.79
361804,ENGENHARIA CIVIL,IFPB,Campina Grande,PB,622.26,630.81
361790,ENGENHARIA CIVIL,IFPB,Patos,PB,628.19,629.74
361784,ENGENHARIA CIVIL,IFPB,Cajazeiras,PB,629.44,632.42
361789,ENGENHARIA CIVIL,IFPB,João Pessoa,PB,646.39,654.89
351584,ENGENHARIA CIVIL,IFPE,Recife,PE,664.26,674.46
365905,ENGENHARIA CIVIL,IFRN,Natal,RN,680.32,683.42
344449,ENGENHARIA CIVIL,IFS,Estância,SE,620.61,625.1
344447,ENGENHARIA CIVIL,IFS,Aracaju,SE,643.66,655.48
352887,ENGENHARIA CIVIL,IFSC,Criciúma,SC,655.66,656.49
352858,ENGENHARIA CIVIL,IFSC,Florianópolis,SC,690.66,684.35
352884,ENGENHARIA CIVIL,IFSC,São Carlos,SC,N/A,628.0
368999,ENGENHARIA CIVIL,IFSP,Votuporanga,SP,666.4,672.52
369004,ENGENHARIA CIVIL,IFSP,Caraguatatuba,SP,682.18,682.68
368945,ENGENHARIA CIVIL,IFSP,São Paulo,SP,724.06,724.72
356066,ENGENHARIA CIVIL,IFTO,Gurupi,TO,710.88,669.38
356054,ENGENHARIA CIVIL,IFTO,Palmas,TO,728.56,691.4
349979,ENGENHARIA CIVIL,UDESC,Ibirama,SC,617.74,639.22
349970,ENGENHARIA CIVIL,UDESC,Joinville,SC,691.32,697.48
359254,ENGENHARIA CIVIL,UEFS,Feira de Santana,BA,674.93,682.84
344774,ENGENHARIA CIVIL,UEL,Londrina,PR,736.68,741.92
349532,ENGENHARIA CIVIL,UEM,Umuarama,PR,690.66,699.62
349459,ENGENHARIA CIVIL,UEM,Maringá,PR,719.98,721.0
355915,ENGENHARIA CIVIL,UEMG,João Monlevade,MG,622.72,660.3
355978,ENGENHARIA CIVIL,UEMG,Divinópolis,MG,653.06,670.9
355906,ENGENHARIA CIVIL,UEMG,Guanhães,MG,654.68,627.12
356026,ENGENHARIA CIVIL,UEMG,Passos,MG,674.9,678.18
356013,ENGENHARIA CIVIL,UEMG,Divinópolis,MG,678.64,683.06
357125,ENGENHARIA CIVIL,UEMS,Nova Andradina,MS,639.33,655.97
357842,ENGENHARIA CIVIL,UENF,Campos dos Goytacazes,RJ,702.02,703.04
349865,ENGENHARIA CIVIL,UEPB,Araruna,PB,543.24,588.41
348931,ENGENHARIA CIVIL,UESC,Ilhéus,BA,696.86,698.68
363153,ENGENHARIA CIVIL,UESPI,Teresina,PI,690.88,695.92
362627,ENGENHARIA CIVIL,UFAL,Delmiro Gouveia,AL,649.3,661.8
362537,ENGENHARIA CIVIL,UFAL,Maceió,AL,683.38,694.66
368782,ENGENHARIA CIVIL,UFAM,Manaus,AM,711.46,706.08
361424,ENGENHARIA CIVIL,UFBA,Salvador,BA,719.64,721.69
365650,ENGENHARIA CIVIL,UFC,Russas,CE,666.26,668.18
365655,ENGENHARIA CIVIL,UFC,Crateús,CE,680.28,679.76
365571,ENGENHARIA CIVIL,UFC,Fortaleza,CE,713.08,716.68
352689,ENGENHARIA CIVIL,UFCA,Juazeiro do Norte,CE,680.88,686.89
