co_oferta,curso,universidade,cidade,uf,nota_20_01,nota_21_01,nota_22_01,nota_23_01
349699,PSICOLOGIA,FURG,Rio Grande,RS,717.43,729.91,731.84,735.34
359279,PSICOLOGIA,UEFS,Feira de Santana,BA,704.8,713.99,716.75,716.01
344831,PSICOLOGIA,UEL,Londrina,PR,748.72,757.42,756.92,763.02
349479,PSICOLOGIA,UEM,Maringá,PR,750.94,755.58,762.26,756.72
355876,PSICOLOGIA,UEMG,Frutal,MG,691.04,721.46,733.06,733.06
355982,PSICOLOGIA,UEMG,Passos,MG,710.18,722.16,725.96,728.26
356000,PSICOLOGIA,UEMG,Divinópolis,MG,712.28,723.68,728.84,728.5
355961,PSICOLOGIA,UEMG,Ituiutaba,MG,716.26,709.96,716.38,719.68
356034,PSICOLOGIA,UEMG,Belo Horizonte,MG,739.18,745.14,747.26,747.86
357106,PSICOLOGIA,UEMS,Coxim,MS,670.94,692.55,706.55,707.31
357107,PSICOLOGIA,UEMS,Campo Grande,MS,723.12,723.72,723.72,733.7
349900,PSICOLOGIA,UEPB,Campina Grande,PB,673.29,687.34,692.22,693.1
357567,PSICOLOGIA,UESB,Vitória da Conquista,BA,760.29,760.29,760.29,757.82
348958,PSICOLOGIA,UESC,Ilhéus,BA,715.15,719.62,726.12,724.59
363109,PSICOLOGIA,UESPI,Teresina,PI,705.63,712.39,711.57,711.57
362599,PSICOLOGIA,UFAL,Palmeira dos Índios,AL,687.82,699.76,704.02,703.3
362567,PSICOLOGIA,UFAL,Maceió,AL,715.66,722.62,723.74,722.96
368811,PSICOLOGIA,UFAM,Manaus,AM,736.56,741.41,741.21,741.21
361491,PSICOLOGIA,UFBA,Vitória da Conquista,BA,719.16,728.76,725.53,728.63
361444,PSICOLOGIA,UFBA,Salvador,BA,739.76,743.77,743.84,743.87
365609,PSICOLOGIA,UFC,Sobral,CE,727.0,728.82,732.66,733.9
365569,PSICOLOGIA,UFC,Fortaleza,CE,746.74,751.18,752.42,752.6
352762,PSICOLOGIA,UFCA,Barbalha,CE,724.51,726.13,725.51,726.85
363037,PSICOLOGIA,UFCAT,Catalão,GO,707.61,717.41,722.85,723.98
351773,PSICOLOGIA,UFCG,Campina Grande,PB,696.04,701.36,705.04,710.16
360265,PSICOLOGIA,UFCSPA,Porto Alegre,RS,756.22,759.54,760.6,758.92
